Language,Rouge L score,Cosine similarity
english,"{'rouge1': 0.12185727042485547, 'rouge2': 0.048143430600586685, 'rougeL': 0.06800651255167318, 'rougeLsum': 0.11521481413054356}","[[0.7745705  0.36800502]
 [0.62276643 0.45738376]]"
greek,"{'rouge1': 0.026695267696887452, 'rouge2': 0.004662004662004663, 'rougeL': 0.022921682791227076, 'rougeLsum': 0.026695267696887452}","[[0.08269233 0.0260803 ]
 [0.02206118 0.00883546]]"
polish,"{'rouge1': 0.08742994441246599, 'rouge2': 0.02644710578842315, 'rougeL': 0.039075009218049225, 'rougeLsum': 0.08244489954706218}","[[0.37714004 0.01020697]
 [0.1760835  0.01235794]]"
french,"{'rouge1': 0.02264533125541196, 'rouge2': 0.006481481481481481, 'rougeL': 0.014230973607474806, 'rougeLsum': 0.022182796565310206}","[[0.14363108 0.08971489]
 [0.04967997 0.03699524]]"
bulgarian,"{'rouge1': 0.038521772345301755, 'rouge2': 0.007832898172323759, 'rougeL': 0.022937356760886173, 'rougeLsum': 0.038521772345301755}","[[0.13278212 0.        ]
 [0.         0.        ]]"
